"time","Inf.Asintomaticos","Inf.Leves","Inf.Hosp","Inf.UCI","Total.infecciosos","Defunciones","Removidos","Defunciones_por_dia","Removidos_por_dia"
0,34,34,5,6,78.9999999999999,0,0,0,0
1,48.354035122011,63.432575310153,10.4663780646055,8.59595207079201,130.848940567561,0.197392002624613,5.83678612259991,0.197392002624613,5.83678612259991
2,56.0101791533088,80.8777997906551,13.7787300149578,10.1202722212312,160.786981180153,0.458545110221745,13.6417417866505,0.261153107597132,7.80495566405064
3,62.2837521455827,95.9164523942191,16.6694828355295,11.438962947619,186.30865032295,0.765507143926474,22.8111186097586,0.306962033704729,9.16937682310809
4,68.9442294059116,111.772122981575,19.7234204282582,12.8442134768023,213.283986292547,1.11709331965446,33.2917484451576,0.351586175727989,10.4806298353989
5,76.6806157387751,129.736194259783,23.1768668686311,14.4539910713293,244.047667938518,1.51813399069887,45.2256869872378,0.401040671044407,11.9339385420802
6,85.8690222493019,150.546339718715,27.1667064850165,16.3365507574334,279.918619210466,1.97626956469693,58.8438841289894,0.458135573998055,13.6181971417516
7,96.8129619350331,174.81892673486,31.8085529196211,18.5495195560513,321.989961145565,2.50110226660086,74.4375611520752,0.524832701903934,15.5936770230859
8,109.81997214401,203.187793361583,37.2218977170288,21.1524704893734,371.382133711995,3.1040935411615,92.354108831906,0.602991274560642,17.9165476798308
9,125.227331208939,236.351743661548,43.5387798616869,24.2112570731507,429.329111805324,3.79870695469381,113.000993003038,0.694613413532308,20.6468841711321
9,125.227331208939,236.351743661548,43.5387798616869,24.2112570731507,429.329111805324,3.79870695469381,113.000993003038,0,0
10,136.636884395946,262.569130315786,48.6240698071774,26.6581550684329,474.488239587342,4.58771960985135,136.434231181417,0.789012655157536,23.4332381783786
11,142.63215929063,278.962675586992,51.9383909185737,28.2233229366516,501.756548732848,5.43946641373269,161.601147849534,0.851746803881348,25.1669166681174
12,146.94205022933,292.227289701907,54.6904420586185,29.5109629040644,523.37074489392,6.33706207285235,187.944938875162,0.89759565911966,26.3437910256281
13,150.829576595263,304.64037472686,57.2916159560255,30.7266298992074,543.488197177356,7.27545049286938,215.299048226699,0.938388420017022,27.3541093515371
14,154.723008970541,316.983488384471,59.8833290465994,31.9408962499402,563.530722651551,8.25361248258707,243.62966397954,0.978161989717699,28.3306157528408
15,158.769248900257,329.533654362849,62.5159465477365,33.1788140032429,583.997663814085,9.27193044874642,272.948641550377,1.01831796615935,29.3189775708369
15,158.769248900257,329.533654362849,62.5159465477365,33.1788140032429,583.997663814085,9.27193044874642,272.948641550377,0,0
16,163.02684700051,342.409509922358,65.211280355534,34.4511636643698,605.098800942772,10.3313109521198,303.284509045979,1.05938050337339,30.335867495602
17,167.538205933267,355.701633969881,67.9861688527903,35.7662439018184,626.992252657757,11.4329576243347,334.674912296968,1.10164667221488,31.3904032509892
18,172.33023519293,369.47307538077,70.8525345443659,37.1299001700204,649.785745288087,12.578301810406,367.164254828284,1.1453441860713,32.4893425313157
19,177.423541203914,383.775666065109,73.8203184067852,38.5469916997302,673.566517375539,13.7689431054522,400.801707427387,1.19064129504625,33.6374525991029
20,182.838606972882,398.661222117221,76.8995080540738,40.0224054142032,698.421742558379,15.0066372525015,435.640774381972,1.23769414704926,34.8390669545858
21,188.59806350576,414.1857481564,80.1009031827373,41.5614384509727,724.44615329587,16.2933029351666,471.739484720552,1.28666568266509,36.0987103385796
22,194.72767417138,430.411346485923,83.436468106031,43.1699742895184,751.745463052853,17.6310388427101,509.160903188786,1.33773590754354,37.4214184682343
23,201.256861314592,447.407309827586,86.9195370640401,44.8545852324741,780.438293438692,19.0221433240249,547.973725733983,1.39110448131477,38.8128225451963
24,208.219107265192,465.250998386029,90.5649815796616,46.6226159325081,810.657703163391,20.4691376465818,588.252980434654,1.44699432255687,40.2792547006716
25,215.65240260433,484.028825001456,94.3893995888879,48.4822778758648,842.552905070538,21.9747958869937,630.08091812395,1.50565824041191,41.8279376892957
26,223.599552623064,503.836965677718,98.4112525718233,50.4427177076437,876.290488580249,23.5421682818513,673.547718674066,1.56737239485762,43.4668005501165
27,232.108638556214,524.782382626898,102.65106284525,52.5141157952978,912.05619982366,25.174615274645,718.752499878731,1.63244699279367,45.2047812046646
28,241.233496579484,546.983886370609,107.131618124691,54.7077883748012,950.056789449586,26.8758421609023,765.804345064678,1.70122688625729,47.0518451859472
