"time","Inf.Asintomaticos","Inf.Leves","Inf.Hosp","Inf.UCI","Total.infecciosos","Defunciones","Removidos","Defunciones_por_dia","Removidos_por_dia"
0,34,34,5,6,78.9999999999999,0,0,0,0
1,48.3540357909826,63.4325765058239,10.4663782792712,8.59595217753204,130.84894275361,0.19739199575964,5.83678591103901,0.19739199575964,5.83678591103901
2,56.0101791553737,80.8777997782825,13.7787300108274,10.1202722185964,160.78698116308,0.458545104905242,13.6417416277036,0.261153109145602,7.80495571666464
3,62.2837517647073,95.9164516721757,16.6694827019287,11.4389628802713,186.308649019083,0.765507137474345,22.8111184159258,0.306962032569103,9.16937678822218
4,68.944228587857,111.772121433909,19.7234201431156,12.8442133337052,213.283983498587,1.11709330989757,33.2917481469541,0.351586172423222,10.4806297310282
5,76.6806142922501,129.736191514661,23.1768663630505,14.4539908180339,244.047662987995,1.5181339747244,45.2256864922534,0.401040664826833,11.9339383452994
6,85.8690198897682,150.546335223983,27.1667056567286,16.336550342804,279.918611113284,1.97626953820154,58.8438833013355,0.458135563477144,13.6181968090821
7,96.812958278363,174.818919742987,31.8085516300263,18.5495189107875,321.989948562163,2.50110222336153,74.4375597959551,0.524832685159981,15.5936764946196
8,109.81996669268,203.187782900469,37.2218957856413,21.1524695232316,371.382114902022,3.10409347241922,92.3541066725892,0.602991249057694,17.9165468766341
9,125.227323333837,236.351728496619,43.538777058948,24.2112556713508,429.329084560754,3.79870684841289,113.000989664095,0.694613375993667,20.6468829915056
10,143.411787666988,275.093404753935,50.9072882451379,27.7997642842924,497.212244950353,4.60064058432169,136.85251354629,0.801933735908803,23.8515238821951
11,164.79414716716,320.2888984388,59.4934096829434,32.0008323157053,576.577287604609,5.52810061181246,164.457817336244,0.927460027490767,27.6053037899541
12,189.841891372021,372.913981941091,69.4822410801967,36.9068624117218,669.14497680503,6.60209674525685,196.449529278395,1.07399613344439,31.9917119421513
13,219.071057326044,434.048876229929,81.0789673270639,42.6203055817758,776.819206464812,7.84675693323232,233.552907181451,1.24466018797547,37.1033779030554
14,253.047602705483,504.88215309622,94.5096698630849,49.2540666553518,901.693492320139,9.28965606541481,276.595348428282,1.44289913218249,43.0424412468315
15,292.388521969555,586.714147046056,110.022049298736,56.9318653760264,1046.05658369037,10.9621552796854,326.516145092668,1.67249921427062,49.9207966643855
16,337.762940643228,680.960316132557,127.886139747442,65.7885933581924,1212.39798988142,12.8997541210842,384.376550054913,1.93759884139875,57.8604049622454
17,389.893514260692,789.155147699861,148.395122861639,75.9707209044119,1403.4145057266,15.142454191146,451.370116897195,2.24270007006182,66.9935668422819
18,449.558596450081,912.957486328543,171.866402554003,87.6368341731636,1622.01931950579,17.7351377081232,528.833422231223,2.59268351697719,77.4633053340284
19,517.595814289856,1054.15849908003,198.643163961491,100.958414475569,1871.35589180694,20.7279668225038,618.257357733353,2.99282911438063,89.4239355021293
20,594.907910956456,1214.69392939977,229.096721351861,116.121012050618,2154.8195737587,24.1768137059741,721.299310886877,3.44884688347023,103.041953153524
21,682.471954668877,1396.66276758785,263.630048714279,133.326011189408,2476.09078216041,28.1437370151591,839.796728749545,3.96692330918508,118.497417862668
22,781.353350753718,1602.35513419719,302.683011412124,152.793245897204,2839.18474226023,32.6975277436574,975.782790098055,4.5537907284983,135.98606134851
23,892.72647668034,1834.29293606549,346.739959940792,174.764796614429,3248.52416930105,37.9143567258288,1131.50519957717,5.21682898217134,155.722409479113
24,1017.90422257997,2095.28778001971,396.34051999825,199.510385100218,3709.04290769815,43.8785680416554,1309.44948904774,5.96421131582662,177.944289470568
25,1158.3792317964,2388.52165275395,452.094604575409,227.334880332028,4226.33036945779,50.6836756232626,1512.36861680865,6.80510758160721,202.919127760917
26,1315.88075555183,2717.65809428698,514.703088033642,258.588635403894,4806.83057327635,58.4336482090174,1743.3215064149,7.74997258575482,230.952889606245
27,1492.45114151799,3086.99183604769,584.985629408957,293.681399044448,5458.11000601909,67.2445727528592,2005.72333838872,8.81092454384179,262.401831973821
28,1690.54820319359,3501.64927253905,663.917952488835,333.100955525804,6189.21638374728,77.2468412052516,2303.41207108445,10.0022684523924,297.688732695727
29,1913.1803353687,3967.85339794485,752.681127811483,377.437765539032,7011.15262666406,88.5880232711841,2640.73623037532,11.3411820659325,337.324159290875
30,2164.08360789209,4493.27152980299,852.726277503808,427.417318493793,7937.49873369267,101.436646512594,3022.67080442126,12.8486232414094,381.934574045936
31,2447.95233137507,5087.46864450412,965.858965612869,483.942327569412,8985.22226906147,115.987162812708,3454.96985410943,14.5505163001149,432.299049688177
32,2770.73769902693,5762.49532734221,1094.34869066311,548.147475883328,10175.7291929156,132.466457796213,3944.36683272178,16.4792949835044,489.396978612345
33,3140.03302015216,6533.64711026359,1241.070348834,621.470147974061,11536.2206272238,151.1423576197,4498.83661345223,18.6758998234869,554.469780730456
34,3565.56902596412,7420.44183328487,1409.68637864588,705.741502042451,13101.4387399373,172.334711578252,5127.93703339341,21.1923539585522,629.100419941176
35,4059.84896816659,8447.87406855469,1604.88061555488,803.303397151405,14915.9070494276,196.429786218245,5843.25259253367,24.0950746399931,715.315559140257
36,4638.96099499341,9648.02108561013,1832.65777016054,917.158132235823,17036.7979829999,223.898903549938,6658.96899324841,27.4691173316932,815.716400714743
37,5323.6153803487,11062.0949177471,2100.72619739022,1051.15983060461,19537.5963260906,255.322514459177,7592.61514370059,31.4236109092388,933.646150452181
38,6140.46595905967,12743.0585843953,2418.986019315,1210.25850126198,22512.7690640319,291.421210368231,8666.01882301166,36.0986959090543,1073.40367931107
39,7123.78901400791,14758.9522563307,2800.14985339592,1400.81040294731,26083.7015266818,333.09554847056,9906.53362368773,41.6743381023282,1240.51480067607
40,8317.61247815072,17197.1144544885,3260.53076107654,1630.97201835139,30406.2297120672,381.477115221116,11348.611636669,48.3815667505561,1442.07801298127
41,9778.4063519247,20169.5196844394,3821.03884540563,1911.19835285097,35680.1632346207,437.993793389609,13035.8128876381,56.5166781684931,1687.20125096907
42,11578.4697887413,23819.5035850209,4508.43726315473,2254.87094049364,42161.2815774106,504.45297667054,15023.366355683,66.4591832809314,1987.55346804495
